domain,total,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15
facilitators](https,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
fxcapital.co.za,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
glacier.co.za,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
globalimmigrationsolutions.com,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
globalvisaservices.co.za,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
goeco.org,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
grtax.co.za,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
gt](https,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
henleyglobal.com,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hlatswayo.com,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
holdings](https,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
houghtonharper.co.za,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
immigration-south-africa.com,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
immigrationconsultants.co.za,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
immigrationexperts.co.za,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
jvrafricagroup.co.za,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kelly.co.za,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
kisch-ip.com,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
kpmg.co.za,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
lawtonsafrica.com,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
lerouxlaw.co.za,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
lesterandassociates.co.za,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
maitlandgroup.com,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
manpower.co.za,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mckinsey.com,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
me,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
meredithharington.co.za,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
migratesa.com,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
mutual](https,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
newtons.co.za,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
nfb.co.za,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
nwimmigration.co.za,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
passportpeople.co.za,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
pathwaysimmigration.co.za,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
planning](https,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
pro](https,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
probityadvisory.co.za,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
protaxsa.co.za,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
psytech.co.za,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
remedia.co.za,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
remediotax.co.za,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
rescue](https,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
resolve](https,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
resolveimmigration.co.za,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
rmb)](https,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
saaac.co.za,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
saffasimmigration.co.za,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
sarsconsulting.co.za,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
sarsdebtassist.co.za,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
sarsliaison.co.za,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
sarstaxdebt.co.za,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
sarstaxfiling.co.za,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
sarstaxpractitioners.co.za,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
sarstaxsolutions.co.za,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
sataxdebt.co.za,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
savisaexperts.com,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
seesa.co.za,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
sia.co.za,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
siamlegal.com,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
sincereimmigration.co.za,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
siverviewimmigration.co.za,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
skillsuniverse.com,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
southafricanimmigration.org,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
specialists](https,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
spsimigration.co.za,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ssaconsultants.co.za,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
statussolutions.co.za,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
stbb.co.za,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
stcimmigration.com,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
stcimmigration.org,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
taxguru.co.za,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
taxmansa.co.za,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
taxresolutionservices.co.za,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
tenderexperts.co.za,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
theimmigrationcompany.com,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
valr.com,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
vdma.co.za,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
vfs)](https,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
visa-immigration.co.za,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
visa-south-africa.com,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
visaandimmigrationsolutions.co.za,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
visaconnect.co.za,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
visaconnect.com,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
visaimmigrationsa.com,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
visarenewal.co.za,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
visasforsouthafrica.com,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
visasouthafrica.co.za,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vktaimmigration.com,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
vms-sa.com,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
vmsimmigration.com,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
workpermitssa.com,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
workvisasouthafrica.com,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
year](https,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
**immigration.co.za,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1life.co.za,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1stforwomen.co.za,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1stmoveinternational.com,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1sttax.co.za,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
a-ztaxconsultants.co.za,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
a1immigration.co.za,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
a2a.co.za,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
a4e.co.za,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
aardvarkaccounting.co.za,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
accounting](https,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
acdvries.co.za,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
advice)](https,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
advisory](https,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
afis.co.za,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
aflegal.co.za,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
africonsultants.com,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
afrizan.co.za,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
agimmigration.co.za,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
agimmigration.com,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ahi.co.za,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
aimsimmigration.com,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ajimmigration.co.za,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ajjvdm.co.za,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ajvanderwatt.co.za,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
allpaysa.co.za,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
altax.co.za,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
altvest.co.za,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
andersontax.co.za,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
andiinc.co.za,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
apextaxconsultants.co.za,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
applicatorsystems.com,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
appliedapplications.co.za,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
arztaxconsultants.co.za,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
asattorneys.co.za,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
assessment.co.za,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
assessmentworx.com,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ata-sa.co.za,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
atec.co.za,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
au](https,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aucampattorneys.co.za,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
aucortax.co.za,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
auditlink.co.za,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
auditware.co.za,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
aurasimmigration.co.za,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
avasaconsulting.co.za,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
avimmigration.co.za,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
awex.co.za,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
awts.co.za,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
axiommcmahon.co.za,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ayeimmigration.co.za,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
bain.com,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
bannistertrust.co.za,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
barnardinc.co.za,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
bassgordon.co.za,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
bbd.co.za,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bcg.com,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
bcrassociates.co.za,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bellandcompany.co.za,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bic-sa.com,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bic-visa.com,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bic-visas.com,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bics.co.za,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bioss.co.za,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
biz,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bizcraft.co.za,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
bizreg.co.za,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
blackpenglobal.com,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
blackpenrecruitment.co.za,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
blackswanglobal.co.za,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
blockheadtechnologies.com,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
blsindiavisa.co.za,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
blsinternational.com,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bonitas.co.za,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
braingain.co.za,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brenthurstwealth.com,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
breytenbachs.co.za,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bridgeimmigration.co.za,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
brightrock.co.za,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
britehouse.co.za,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
britishimmigrationadvice.co.za,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
businessdoctors.co.za,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
businessrescueexchange.co.za,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c-tax.co.za,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
c3s.co.za,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
capeimmigration.com,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
capetownpsychology.co.za,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
capetownvisaservices.co.za,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
capital](https,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
cc,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cdeimmigration.com,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cggroup.co.za,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
chetanimmigration.co.za,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
chetans.co.za,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cibtvisas.co.za,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cipc.co.za,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cktax.co.za,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
clicks.co.za,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
coined.co.za,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.za,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
communicate.co.za,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
companyregistrationsa.co.za,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
complianceinstitute.co.za,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
compliancepartners.co.za,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
comprehensivetax.co.za,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
consultants,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
corpmigration.co.za,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
corporateaccounts.co.za,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
corporaterelocationsafrica.com,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
corporateservicessouthafrica.co.za,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
counsellinghub.co.za,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
craigsmithimmigration.com,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
crossfin.co.za,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
crsolutions.co.za,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cryptoacademy.co.za,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cryptoaccounting.co.za,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cryptocurrencytax.co.za,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cryptotaxconsulting.co.za,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cryptotaxsa.co.za,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cryptotaxsolutions.co.za,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
csa.co.za,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
csg.co.za,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
csgimmigration.com,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
csimmigration.co.za,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cth.co.za,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
customapplications.co.za,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
davidesmith.com,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ddptax.co.za,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
debeerattorneys.co.za,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
debeerattorneys.com,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
debtcounsellors.co.za,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
debtsage.co.za,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dereuckimmigration.co.za,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
derivco.com,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
digitalassetstax.co.za,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dircoimmigration.co.za,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
direct](https,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
dischem.co.za,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
dlapiper.com,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
dmtax.co.za,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
documentassist.co.za,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
documentwarehouse.co.za,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dohapplications.co.za,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dohsolutions.co.za,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
dutoittax.co.za,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
dvt.co.za,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
e-merge.co.za,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
easivisa.com,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
easyvisa.co.za,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
econoserve.co.za,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
edubloxsa.co.za,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
edustartinternational.co.za,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
eduvisa.co.za,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
eisenberglaw.co.za,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
eisenman.co.za,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
eislaw.co.za,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
eissa.co.za,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
eisservices.co.za,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
eissouthafrica.co.za,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
eisvisa.co.za,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
eisvisa.com,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
eltzeandpartners.co.za,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
emigrate.co.za,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
emigrationsouthafrica.co.za,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
engaged.co.za,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ens)](https,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ensafrica)](https,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
entelect.co.za,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
eticonsulting.co.za,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
evalex.com,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
exchange4africa.co.za,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exchange4free.com,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
exchange](https,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
expat-tax.co.za,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
expatriategroup.com,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
expatriatelaw.co.za,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
expatriatetaxsolutions.co.za,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
expattaxservices.com,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
fats.co.za,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
fbi-attorneys.co.za,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
fedhealth.co.za,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
financialemigrationsa.co.za,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
finsolve.co.za,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
fisasa.com,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
fluxmans.com,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
future](https,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
futurebudget.co.za,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
g3visas.co.za,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
galbraith.co.za,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
gerber.co.za,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
gerberco.co.za,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ghs.co.za,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
gilfillan](https,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
gimt.co.za,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
gklaw.co.za,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
global-migration.com,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
globalbusiness.co.za,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
globalcitizensolutions.com,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
globaleducation.co.za,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
globaltax.co.za,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
globalvisasolutions.com,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
globetrotter.co.za,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glucode.com,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
goldbergdevilliers.co.za,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
govolunteerafrica.org,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
gra.co.za,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
grantkaplan.co.za,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
gray](https,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
group)](https,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
gtc.co.za,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
gvps.co.za,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hannalegal.com,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
harrisonwhite.co.za,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
hdcc.co.za,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
healthbridge.co.za,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
healthcarelicensing.co.za,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
healthconnect.co.za,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
help](https,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
helpdesk](https,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hermannimmigration.co.za,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
hermannlaw.co.za,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
hermannlawyers.com,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hgg.co.za,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hjw.co.za,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
hjwattorneys.co.za,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hlatshwayo.co.za,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
hlawula.co.za,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hlawulaimmigration.co.za,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
hobbs-sinclair.co.za,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
hoganhilling.co.za,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hoganlovells.com,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
horganattorneys.co.za,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
houtbayvisa.co.za,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hrirs.co.za,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hrsolutions.co.za,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
iasuk.com,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ibhar.co.za,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ibiza-immigration.com,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ibngr.co.za,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ibngroup.co.za,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ibninternational.com,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
