domain,total,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15
taxdebtmanagement.co.za,10,2,2,0,3,1,1,1,0,0,0,0,0,0,0,0
taxpartners.co.za,10,0,0,0,0,2,0,3,3,0,2,0,0,0,0,0
tcsa)](https,10,0,0,1,2,2,1,1,1,1,1,0,0,0,0,0
wentzel](https,10,1,1,0,0,2,2,1,1,1,1,0,0,0,0,0
expattaxservices.co.za,9,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0
finglobal.com,9,1,6,1,0,1,0,0,0,0,0,0,0,0,0,0
ltd](https,9,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
partners](https,9,0,0,0,0,5,0,0,0,2,2,0,0,0,0,0
psg.co.za,9,0,0,0,0,1,2,3,3,0,0,0,0,0,0,0
saffery.com,9,0,2,4,0,0,0,1,2,0,0,0,0,0,0,0
sng-grantthornton.co.za,9,0,0,0,0,0,2,0,2,3,2,0,0,0,0,0
visafirst.com,9,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0
breytenbachs.com,8,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
discovery.co.za,8,0,0,0,1,1,2,2,1,0,1,0,0,0,0,0
immigrationdirect.co.za,8,1,0,0,2,2,1,0,0,1,1,0,0,0,0,0
mdrtax.co.za,8,0,1,0,4,1,1,0,1,0,0,0,0,0,0,0
moore-southafrica.com,8,0,2,0,0,1,0,0,0,2,3,0,0,0,0,0
novaimmigration.com,8,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0
stcimmigration.co.za,8,0,0,0,4,3,0,1,0,0,0,0,0,0,0,0
taxcorp.co.za,8,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0
taxdebtsouthafrica.co.za,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
taxrisk.co.za,8,0,2,4,0,1,1,0,0,0,0,0,0,0,0,0
workpermit.com,8,0,0,0,2,2,0,2,0,2,0,0,0,0,0,0
africa)](https,7,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0
altcointrader.co.za,7,4,0,1,0,0,0,0,2,0,0,0,0,0,0,0
blackpenrecruitment.com,7,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0
cdhlegal.com,7,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0
consulting](https,7,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0
globalvisasupport.com,7,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0
immigrationsa.com,7,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0
integritax.co.za,7,0,0,1,0,0,0,1,0,2,3,0,0,0,0,0
mdhaccounting.co.za,7,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0
sage.com,7,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0
savisa.co.za,7,1,0,0,1,1,2,1,0,0,1,0,0,0,0,0
sialegal.co.za,7,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0
sovereigntrust.co.za,7,0,3,2,0,0,0,1,1,0,0,0,0,0,0,0
spsimmigration.com,7,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0
taxdebtcompliance.co.za,7,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0
visaimmigration.co.za,7,3,0,2,1,0,0,0,1,0,0,0,0,0,0,0
visasouthafrica.com,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
visasouthafrica.org,7,2,0,1,2,1,0,0,0,0,1,0,0,0,0,0
africa,6,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0
alexanderforbes.co.za,6,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0
ata-tax.com,6,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0
bakertilly.co.za,6,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0
immigrationsouthafrica.com,6,0,0,1,0,0,0,2,1,0,2,0,0,0,0,0
incompass.co.za,6,0,0,0,0,0,0,0,1,2,2,0,1,0,0,0
info,6,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0
intergate-emigration.com,6,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0
intergate-visalink.com,6,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0
migratetosouthafrica.com,6,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0
